,rtt
832,39375.0
833,37296.0
834,36244.0
835,41936.5
836,31624.0
837,32065.0
838,53638.5
839,36061.5
840,36714.0
841,41640.5
842,36121.0
843,38883.5
844,35693.5
845,29031.5
846,35276.0
847,38955.0
848,37713.5
849,36735.5
850,51460.5
851,36772.5
852,29774.0
853,56451.0
854,35844.0
855,35910.5
856,36581.5
857,36211.5
858,37983.0
859,36003.0
860,42064.5
861,22374.0
862,36387.5
863,38274.0
864,46335.0
865,38097.5
866,39182.0
867,37424.0
868,41968.0
869,33591.0
870,42507.0
871,33545.5
872,38188.0
873,36655.0
874,42225.0
875,34798.0
876,36835.0
877,56401.0
878,42612.0
879,36212.0
880,43941.5
881,36324.0
882,36438.5
883,35476.0
884,47294.5
885,36926.0
886,35422.0
887,36286.5
888,36808.0
889,38774.0
890,32733.5
891,41310.5
892,36162.5
893,60119.0
894,37536.0
895,42847.5
896,35731.0
897,37450.0
898,37172.0
899,35465.0
900,30963.0
901,34607.0
902,36749.0
903,35773.0
904,36223.0
905,43215.0
906,61628.0
907,37525.0
908,36442.5
909,28208.0
910,38788.0
911,34967.0
912,38460.5
913,37257.5
914,36267.0
915,38759.0
916,38227.0
917,36246.0
918,39224.5
919,38527.5
920,44087.5
921,40534.0
922,37138.5
923,38132.5
924,40211.0
925,19137.0
926,34361.0
927,36937.5
928,40940.5
929,37530.5
930,43037.5
931,38217.5
932,25289.0
933,30434.0
934,34389.0
935,27597.5
936,37457.5
937,32573.5
938,97126.0
939,50063.5
940,42413.5
941,33599.0
942,30665.0
943,41746.0
944,39031.5
945,37807.0
946,38075.5
947,24962.0
948,32661.0
949,29946.5
950,37303.0
951,44722.0
952,41647.5
953,45444.0
954,39300.5
955,43713.0
956,35108.5
957,30453.0
958,45994.0
959,38836.5
960,39144.0
961,37819.5
962,39312.5
963,45022.0
964,33530.5
965,31348.0
966,37896.0
967,39995.5
968,49975.0
969,41985.5
970,40947.5
971,40418.5
972,41530.0
973,44225.0
974,33962.0
975,40046.0
976,37766.5
977,32845.0
978,48317.0
979,41333.5
980,35401.5
981,65843.0
982,41347.0
983,19995.5
984,36454.0
985,38029.0
986,37643.0
987,32692.5
988,47925.5
989,32307.5
990,475782.0
991,84870.5
992,94729.0
993,90622.5
994,88550.0
995,89123.0
996,85777.5
997,87282.5
998,89239.5
999,88745.5
1000,86463.0
1001,86741.0
1002,72313.0
1003,84014.5
1004,85076.5
1005,85939.0
1006,86389.5
1007,93271.5
1008,85704.0
1009,85629.5
1010,65170.5
1011,41789.0
1012,69672.5
1013,90092.0
1014,54124.0
1015,41368.5
1016,38860.0
1017,51093.5
1018,26510.5
1019,37748.5
1020,37190.0
1021,34987.0
1022,44102.5
1023,37647.5
1024,36948.5
1025,44103.5
1026,42304.0
1027,40520.0
1028,86550.5
1029,38273.5
1030,38338.5
1031,44564.0
1032,41935.5
1033,40013.5
1034,38790.5
1035,95069.0
1036,40670.5
1037,37586.5
1038,40451.5
1039,37848.5
1040,39884.5
1041,38687.5
1042,48698.5
1043,42661.5
1044,40547.5
1045,43636.0
1046,36804.5
1047,94498.5
1048,49635.5
1049,39048.5
1050,39022.0
1051,38901.0
1052,41397.0
1053,47433.0
1054,39921.5
1055,38688.0
1056,39260.0
1057,41806.0
1058,47833.0
1059,24956.0
1060,37795.5
1061,84425.0
1062,39847.0
1063,44558.0
1064,36709.5
1065,36087.0
1066,36684.0
1067,39689.0
1068,45636.5
1069,40862.0
1070,37518.5
1071,37160.5
1072,81575.0
1073,62573.0
1074,37265.0
1075,38875.0
1076,38316.0
1077,41473.5
1078,50024.5
1079,39179.5
1080,39809.5
1081,27542.0
1082,39868.5
1083,53624.5
1084,38938.5
1085,83229.5
1086,37417.5
1087,36752.0
1088,47921.5
1089,37168.0
1090,36058.0
1091,35738.0
1092,44455.5
1093,29508.5
1094,37712.0
1095,85420.5
1096,35966.0
1097,44574.0
1098,36973.5
1099,37290.0
1100,36484.5
1101,85002.0
1102,44505.0
1103,40516.0
1104,37773.0
1105,53403.0
1106,84791.5
1107,40802.0
1108,41576.5
1109,38129.0
1110,39265.0
1111,42760.0
1112,38550.0
1113,39338.0
1114,38380.5
1115,45554.5
1116,39336.5
1117,24807.5
1118,41821.0
1119,39625.0
1120,86297.0
1121,36203.0
1122,42438.0
1123,41169.0
1124,39086.0
1125,34790.5
1126,36523.0
1127,38329.5
1128,40334.0
1129,38537.5
1130,41833.0
1131,38449.0
1132,42209.5
1133,85539.0
1134,44998.0
1135,36342.0
1136,37702.0
1137,39241.5
1138,38564.5
1139,37786.0
1140,38278.5
1141,42274.0
1142,61359.5
1143,36075.0
1144,40137.5
1145,48779.0
1146,36310.0
1147,39858.5
1148,38951.5
1149,39095.5
1150,38619.5
1151,43321.5
1152,39541.0
1153,38908.5
1154,37695.5
1155,91950.0
1156,40168.5
1157,40727.5
1158,40438.0
1159,37716.0
1160,37121.0
1161,36251.0
1162,43841.0
1163,40477.0
1164,38222.0
1165,83991.0
1166,38416.0
1167,39675.5
1168,39762.5
1169,46503.0
1170,38916.0
1171,37564.5
1172,39911.0
1173,47766.5
1174,40283.0
1175,38453.0
1176,35830.0
1177,54173.5
1178,52119.5
1179,41723.0
1180,40283.5
1181,45729.5
1182,82672.0
1183,54080.0
1184,41451.0
1185,41964.5
1186,42507.0
1187,40928.0
1188,60152.5
1189,47764.5
1190,90064.0
1191,39896.0
1192,41451.0
1193,48181.0
1194,43064.5
1195,39511.5
1196,39138.0
1197,21226.5
1198,54241.5
1199,41378.5
1200,39902.0
1201,50225.5
1202,108756.5
1203,87424.5
1204,53320.5
1205,46268.0
1206,41120.5
1207,88270.0
1208,52491.5
1209,49499.0
1210,35010.5
1211,39224.5
1212,42483.5
1213,47690.5
1214,41260.5
1215,82640.0
1216,38101.5
1217,88104.5
1218,130967.0
1219,111344.0
1220,129591.0
1221,118799.0
1222,84601.5
1223,191355.5
1224,163478.5
1225,122991.5
1226,137447.5
1227,127350.5
1228,194500.0
1229,145694.5
1230,129670.5
1231,137015.5
1232,139583.0
1233,149892.5
1234,118131.0
1235,205079.0
1236,82186.0
1237,191216.5
1238,147759.5
1239,128598.0
1240,139575.0
1241,137696.0
1242,125924.5
1243,210057.0
1244,131812.0
1245,178866.5
1246,146624.5
1247,156271.0
1248,129595.5
1249,193017.5
1250,163766.0
1251,115564.0
1252,217942.0
1253,193259.5
1254,161063.5
1255,160488.5
1256,172606.5
1257,162696.0
1258,162139.5
1259,118682.0
1260,195964.5
1261,75130.5
1262,190547.5
1263,175180.5
1264,181132.0
1265,162827.5
1266,113095.0
1267,125854.0
1268,146593.5
1269,123342.0
1270,137891.5
1271,132592.5
1272,170116.5
1273,179954.5
1274,162313.0
1275,162290.0
1276,113987.0
1277,130025.5
1278,136985.5
1279,145705.5
1280,71152.5
1281,153910.0
1282,142671.5
1283,142274.0
1284,163343.0
1285,172461.5
1286,117075.0
1287,239862.5
1288,137024.0
1289,125554.0
1290,133107.5
1291,160281.0
1292,162738.5
1293,180620.0
1294,125520.5
1295,150454.5
1296,187827.0
1297,150703.5
1298,172382.0
1299,172350.5
1300,147891.5
1301,124683.0
1302,126049.5
1303,225346.5
1304,125899.0
