,rtt
1010,37018.5
1011,48489.5
1012,61908.0
1013,53237.5
1014,29777.0
1015,20941.5
1016,19403.5
1017,18250.5
1018,20067.5
1019,21469.0
1020,20798.0
1021,26498.5
1022,20442.5
1023,17860.5
1024,20165.0
1025,23771.5
1026,21819.5
1027,22911.0
1028,24585.5
1029,16316.0
1030,18408.0
1031,18922.0
1032,17491.0
1033,18326.5
1034,51463.0
1035,31935.5
1036,17082.5
1037,17978.0
1038,18849.5
1039,17990.5
1040,17937.5
1041,16466.5
1042,18072.5
1043,19770.5
1044,32709.5
1045,19864.0
1046,17679.0
1047,18823.5
1048,30109.5
1049,15643.0
1050,50140.0
1051,21811.5
1052,19207.5
1053,16908.0
1054,18607.0
1055,51237.5
1056,30479.0
1057,16248.5
1058,18842.5
1059,20328.5
1060,19354.0
1061,16855.0
1062,17365.0
1063,18569.5
1064,20808.0
1065,14816.5
1066,17480.0
1067,20899.5
1068,21979.0
1069,17983.0
1070,19674.0
1071,13856.0
1072,21000.5
1073,18945.0
1074,16262.0
1075,54023.5
1076,40145.0
1077,20171.5
1078,22000.0
1079,19279.5
1080,20403.0
1081,18302.5
1082,18970.0
1083,21910.0
1084,19790.0
1085,20178.5
1086,18880.0
1087,21607.0
1088,21114.5
1089,18203.0
1090,18805.5
1091,16906.0
1092,18759.0
1093,21577.0
1094,19883.5
1095,18498.5
1096,18242.5
1097,14577.5
1098,20608.0
1099,29375.0
1100,18084.5
1101,20226.5
1102,21790.0
1103,21512.0
1104,21148.5
1105,13852.0
1106,51773.0
1107,48274.5
1108,44954.0
1109,42556.5
1110,40198.0
1111,42747.5
1112,41484.0
1113,30669.5
1114,42101.5
1115,18469.0
1116,44591.0
1117,31507.5
1118,45961.5
1119,54152.5
1120,46758.0
1121,30357.5
1122,42292.0
1123,44068.5
1124,56470.5
1125,74482.5
1126,54472.5
1127,67607.5
1128,57786.5
1129,79988.5
1130,50378.0
1131,51481.5
1132,57890.0
1133,56846.5
1134,51113.0
1135,50529.5
1136,60475.5
1137,64961.5
1138,71988.0
1139,58393.5
1140,80569.5
1141,78859.5
1142,47518.0
1143,37491.0
1144,46006.0
1145,25566.0
1146,33914.5
1147,81192.0
1148,57755.0
1149,79454.5
1150,82199.0
1151,78613.0
1152,80884.0
1153,80020.0
1154,81042.0
1155,81718.5
1156,79964.0
1157,65139.5
1158,78746.0
1159,78426.5
1160,78066.0
1161,78133.5
1162,62423.0
1163,50593.0
1164,79652.5
1165,78388.5
1166,81686.5
1167,80769.5
1168,82217.0
1169,80118.5
1170,78868.0
1171,81081.0
1172,80272.0
1173,80959.0
1174,81133.5
1175,80086.5
1176,79166.5
1177,77982.0
1178,44245.5
1179,79052.0
1180,78873.0
1181,77242.0
1182,81279.0
1183,82593.0
1184,80816.0
1185,78266.5
1186,79036.5
1187,80117.0
1188,64764.5
1189,80745.0
1190,80305.0
1191,70092.5
1192,80470.5
1193,78848.0
1194,91424.0
1195,80115.5
1196,80502.0
1197,78913.0
1198,83434.5
1199,78927.0
1200,47497.0
1201,78394.5
1202,78326.0
1203,81014.0
1204,80282.0
1205,78939.0
1206,80164.5
1207,79743.5
1208,44601.5
1209,79982.5
1210,84062.5
1211,51147.5
1212,80561.5
1213,79726.0
1214,83202.5
1215,98537.5
1216,81608.5
1217,78858.5
1218,82200.0
1219,84047.5
1220,78933.5
1221,78127.5
1222,49194.0
1223,79525.5
1224,76628.5
1225,78693.5
1226,76402.5
1227,85463.5
1228,79500.0
1229,80468.5
1230,80762.0
1231,79747.5
1232,81042.0
1233,84719.0
1234,79968.0
1235,79514.5
1236,49116.0
1237,86972.5
1238,81692.5
1239,77439.0
1240,56708.0
1241,49594.0
1242,83678.0
1243,50682.5
1244,79888.5
1245,34053.0
1246,87984.5
1247,79759.0
1248,80536.0
1249,91972.0
1250,34489.5
1251,42957.0
1252,77731.0
1253,55056.5
1254,39547.5
1255,41515.0
1256,88128.5
1257,79939.0
1258,83364.5
1259,46193.5
1260,80064.5
1261,37951.0
1262,84980.5
1263,80717.0
1264,80126.5
1265,77351.0
1266,89379.0
1267,85875.5
1268,83051.5
1269,83210.0
1270,84229.5
1271,88072.5
1272,82298.0
1273,81359.5
1274,82526.0
1275,88074.5
1276,80553.0
1277,58724.5
1278,82396.5
1279,81012.5
1280,42072.5
1281,59318.0
1282,33145.5
1283,85463.0
1284,82849.0
1285,87170.0
1286,82285.5
1287,81075.0
1288,82193.5
1289,86955.0
1290,40230.5
1291,89727.0
1292,86305.0
1293,82360.0
1294,89136.5
1295,87207.0
1296,80228.5
1297,79135.0
1298,82707.5
1299,89479.5
1300,82722.5
1301,88788.5
1302,81692.0
1303,85048.0
1304,64623.0
1305,89515.0
1306,79271.0
1307,79649.5
1308,87259.5
1309,78661.0
1310,79915.0
1311,78497.5
1312,86196.0
1313,86038.0
1314,80680.0
1315,80071.5
1316,86861.5
1317,80071.0
1318,88796.0
1319,80475.5
1320,78244.5
1321,78260.0
1322,86811.5
1323,86795.5
1324,56076.5
1325,26368.5
1326,88782.5
1327,81327.0
1328,86176.5
1329,79122.5
1330,81059.0
1331,80220.0
1332,91301.0
1333,86527.5
1334,80001.0
1335,78799.5
1336,39408.5
1337,22190.5
1338,88840.0
1339,28298.5
1340,32692.5
1341,83673.5
1342,81404.5
1343,79707.0
1344,86985.0
1345,22703.0
1346,78808.5
1347,44945.0
1348,75769.5
1349,80005.0
1350,45641.5
1351,35330.0
1352,36697.5
1353,29128.5
1354,41827.0
1355,37048.5
1356,34523.0
1357,37007.0
1358,46096.0
1359,34198.0
1360,33320.5
1361,24305.0
1362,82096.5
1363,44564.5
1364,43081.0
1365,25132.5
1366,29358.0
1367,88605.5
1368,37146.5
1369,25098.0
1370,31618.0
1371,28191.0
1372,40421.0
1373,34365.0
1374,33691.0
1375,77618.0
1376,40525.0
1377,24299.0
1378,34378.0
1379,37069.0
1380,34543.0
1381,39700.0
1382,34759.0
1383,35003.0
1384,34434.0
1385,43150.5
1386,110309.5
1387,67385.0
1388,79186.0
1389,34523.5
1390,33330.0
1391,39036.5
1392,35608.5
1393,27189.0
1394,33684.5
1395,39092.5
1396,26664.5
1397,31636.5
1398,47664.5
1399,79993.5
1400,35453.5
1401,21733.0
1402,34061.5
1403,28404.5
1404,33815.5
1405,42725.5
1406,34526.0
1407,27627.5
1408,19021.5
1409,24576.5
1410,39457.5
1411,34206.5
1412,61668.5
1413,34333.5
1414,41508.0
1415,33036.0
1416,32530.0
1417,25063.0
1418,35362.0
1419,26016.5
1420,27189.5
1421,36721.5
1422,23585.0
1423,36208.0
1424,33994.5
1425,79176.0
1426,38423.5
1427,34824.5
1428,45020.0
1429,26363.0
1430,33081.5
1431,35322.0
1432,33808.5
1433,25263.5
1434,38981.0
1435,26677.0
1436,25010.0
1437,78263.5
1438,46354.5
1439,33896.0
1440,35094.5
1441,25371.5
1442,35770.5
1443,58477.5
1444,34351.5
1445,32255.0
1446,32261.5
1447,40183.5
1448,35293.5
1449,16845.5
1450,78776.5
1451,27221.0
1452,39493.5
1453,34594.5
1454,33112.5
1455,32623.0
1456,40154.5
1457,26207.5
1458,32776.5
1459,33568.0
1460,32188.5
