ioctl()SW-SEND    TIMESTAMP 1650296238.999878939
SW-SEND    TIMESTAMP 1650296242.029872518
SW-SEND    TIMESTAMP 1650296242.039859462
SW-SEND    TIMESTAMP 1650296242.049868851
SW-SEND    TIMESTAMP 1650296242.059870406
SW-SEND    TIMESTAMP 1650296242.069869924
SW-SEND    TIMESTAMP 1650296242.079870091
SW-SEND    TIMESTAMP 1650296242.089865017
SW-SEND    TIMESTAMP 1650296242.099865017
SW-SEND    TIMESTAMP 1650296242.109878072
SW-SEND    TIMESTAMP 1650296242.119862627
SW-SEND    TIMESTAMP 1650296242.129866812
SW-SEND    TIMESTAMP 1650296242.139866812
SW-SEND    TIMESTAMP 1650296242.149868553
SW-SEND    TIMESTAMP 1650296242.159867182
SW-SEND    TIMESTAMP 1650296242.169866701
SW-SEND    TIMESTAMP 1650296242.179866700
SW-SEND    TIMESTAMP 1650296242.189865126
SW-SEND    TIMESTAMP 1650296242.199864811
SW-SEND    TIMESTAMP 1650296242.209869996
SW-SEND    TIMESTAMP 1650296242.219868866
SW-SEND    TIMESTAMP 1650296242.229868551
SW-SEND    TIMESTAMP 1650296242.239867922
SW-SEND    TIMESTAMP 1650296242.249869014
SW-SEND    TIMESTAMP 1650296242.259868032
SW-SEND    TIMESTAMP 1650296242.269879514
SW-SEND    TIMESTAMP 1650296242.279874458
SW-SEND    TIMESTAMP 1650296242.289868291
SW-SEND    TIMESTAMP 1650296242.299866272
SW-SEND    TIMESTAMP 1650296242.309882402
SW-SEND    TIMESTAMP 1650296242.319874346
SW-SEND    TIMESTAMP 1650296242.329882605
SW-SEND    TIMESTAMP 1650296242.339873624
SW-SEND    TIMESTAMP 1650296242.349863864
SW-SEND    TIMESTAMP 1650296242.359869753
SW-SEND    TIMESTAMP 1650296242.369870382
SW-SEND    TIMESTAMP 1650296242.379865586
SW-SEND    TIMESTAMP 1650296242.389865141
SW-SEND    TIMESTAMP 1650296242.399866252
SW-SEND    TIMESTAMP 1650296242.409867956
SW-SEND    TIMESTAMP 1650296242.419867048
SW-SEND    TIMESTAMP 1650296242.429866307
SW-SEND    TIMESTAMP 1650296242.439868048
SW-SEND    TIMESTAMP 1650296242.449865603
SW-SEND    TIMESTAMP 1650296242.459870048
SW-SEND    TIMESTAMP 1650296242.469866381
SW-SEND    TIMESTAMP 1650296242.479870751
SW-SEND    TIMESTAMP 1650296242.489867992
SW-SEND    TIMESTAMP 1650296242.499864491
SW-SEND    TIMESTAMP 1650296242.509867325
SW-SEND    TIMESTAMP 1650296242.519868195
SW-SEND    TIMESTAMP 1650296242.529864584
SW-SEND    TIMESTAMP 1650296242.539868546
SW-SEND    TIMESTAMP 1650296242.549866305
SW-SEND    TIMESTAMP 1650296242.559867527
SW-SEND    TIMESTAMP 1650296242.569867120
SW-SEND    TIMESTAMP 1650296242.579866472
SW-SEND    TIMESTAMP 1650296242.589867231
SW-SEND    TIMESTAMP 1650296242.599865601
SW-SEND    TIMESTAMP 1650296242.609868360
SW-SEND    TIMESTAMP 1650296242.619867101
SW-SEND    TIMESTAMP 1650296242.629867100
SW-SEND    TIMESTAMP 1650296242.639867193
SW-SEND    TIMESTAMP 1650296242.649867211
SW-SEND    TIMESTAMP 1650296242.659870174
SW-SEND    TIMESTAMP 1650296242.669865044
SW-SEND    TIMESTAMP 1650296242.679864303
SW-SEND    TIMESTAMP 1650296242.689869136
SW-SEND    TIMESTAMP 1650296242.699868840
SW-SEND    TIMESTAMP 1650296242.709868118
SW-SEND    TIMESTAMP 1650296242.719867655
SW-SEND    TIMESTAMP 1650296242.729866821
SW-SEND    TIMESTAMP 1650296242.739863932
SW-SEND    TIMESTAMP 1650296242.749867543
SW-SEND    TIMESTAMP 1650296242.759866895
SW-SEND    TIMESTAMP 1650296242.769867043
SW-SEND    TIMESTAMP 1650296242.779867524
SW-SEND    TIMESTAMP 1650296242.789867487
SW-SEND    TIMESTAMP 1650296242.799866857
SW-SEND    TIMESTAMP 1650296242.809870560
SW-SEND    TIMESTAMP 1650296242.819868375
SW-SEND    TIMESTAMP 1650296242.829865560
SW-SEND    TIMESTAMP 1650296242.839867560
SW-SEND    TIMESTAMP 1650296242.849867893
SW-SEND    TIMESTAMP 1650296242.859868356
SW-SEND    TIMESTAMP 1650296242.869868559
SW-SEND    TIMESTAMP 1650296242.879867893
SW-SEND    TIMESTAMP 1650296242.889878522
SW-SEND    TIMESTAMP 1650296242.899869096
SW-SEND    TIMESTAMP 1650296242.909865151
SW-SEND    TIMESTAMP 1650296242.919867688
SW-SEND    TIMESTAMP 1650296242.929866577
SW-SEND    TIMESTAMP 1650296242.939866947
SW-SEND    TIMESTAMP 1650296242.949876762
SW-SEND    TIMESTAMP 1650296242.959874410
SW-SEND    TIMESTAMP 1650296242.969875539
SW-SEND    TIMESTAMP 1650296242.979868391
SW-SEND    TIMESTAMP 1650296242.989872039
SW-SEND    TIMESTAMP 1650296242.999857983
SW-SEND    TIMESTAMP 1650296243.009865224
SW-SEND    TIMESTAMP 1650296243.019864909
SW-SEND    TIMESTAMP 1650296243.029866853
SW-SEND    TIMESTAMP 1650296243.039868631
SW-SEND    TIMESTAMP 1650296243.049868168
SW-SEND    TIMESTAMP 1650296243.059866612
SW-SEND    TIMESTAMP 1650296243.069867945
SW-SEND    TIMESTAMP 1650296243.079867315
SW-SEND    TIMESTAMP 1650296243.089865297
SW-SEND    TIMESTAMP 1650296243.099864463
SW-SEND    TIMESTAMP 1650296243.109880796
SW-SEND    TIMESTAMP 1650296243.119868259
SW-SEND    TIMESTAMP 1650296243.129862555
SW-SEND    TIMESTAMP 1650296243.139868444
SW-SEND    TIMESTAMP 1650296243.149865388
SW-SEND    TIMESTAMP 1650296243.159864610
SW-SEND    TIMESTAMP 1650296243.169868073
SW-SEND    TIMESTAMP 1650296243.179867962
SW-SEND    TIMESTAMP 1650296243.189867591
SW-SEND    TIMESTAMP 1650296243.199866258
SW-SEND    TIMESTAMP 1650296243.209867813
SW-SEND    TIMESTAMP 1650296243.219867461
SW-SEND    TIMESTAMP 1650296243.229866665
SW-SEND    TIMESTAMP 1650296243.239878202
SW-SEND    TIMESTAMP 1650296243.249867572
SW-SEND    TIMESTAMP 1650296243.259868553
SW-SEND    TIMESTAMP 1650296243.269868831
SW-SEND    TIMESTAMP 1650296243.279869590
SW-SEND    TIMESTAMP 1650296243.289867405
SW-SEND    TIMESTAMP 1650296243.299866978
SW-SEND    TIMESTAMP 1650296243.309868441
SW-SEND    TIMESTAMP 1650296243.319867534
SW-SEND    TIMESTAMP 1650296243.329864460
SW-SEND    TIMESTAMP 1650296243.339867163
SW-SEND    TIMESTAMP 1650296243.349867867
SW-SEND    TIMESTAMP 1650296243.359865755
SW-SEND    TIMESTAMP 1650296243.369865163
SW-SEND    TIMESTAMP 1650296243.379867162
SW-SEND    TIMESTAMP 1650296243.389868033
SW-SEND    TIMESTAMP 1650296243.399867644
SW-SEND    TIMESTAMP 1650296243.409870717
SW-SEND    TIMESTAMP 1650296243.419868310
SW-SEND    TIMESTAMP 1650296243.429865791
SW-SEND    TIMESTAMP 1650296243.439865198
SW-SEND    TIMESTAMP 1650296243.449868458
SW-SEND    TIMESTAMP 1650296243.459867531
SW-SEND    TIMESTAMP 1650296243.469866402
SW-SEND    TIMESTAMP 1650296243.479867383
SW-SEND    TIMESTAMP 1650296243.489868087
SW-SEND    TIMESTAMP 1650296243.499867198
SW-SEND    TIMESTAMP 1650296243.509868364
SW-SEND    TIMESTAMP 1650296243.519867031
SW-SEND    TIMESTAMP 1650296243.529864790
SW-SEND    TIMESTAMP 1650296243.539864160
SW-SEND    TIMESTAMP 1650296243.549867345
SW-SEND    TIMESTAMP 1650296243.559869900
SW-SEND    TIMESTAMP 1650296243.569868178
SW-SEND    TIMESTAMP 1650296243.579867400
SW-SEND    TIMESTAMP 1650296243.589868363
SW-SEND    TIMESTAMP 1650296243.599866696
SW-SEND    TIMESTAMP 1650296243.609864696
SW-SEND    TIMESTAMP 1650296243.619866251
SW-SEND    TIMESTAMP 1650296243.629867732
SW-SEND    TIMESTAMP 1650296243.639867751
SW-SEND    TIMESTAMP 1650296243.649866806
SW-SEND    TIMESTAMP 1650296243.659867973
SW-SEND    TIMESTAMP 1650296243.669868324
SW-SEND    TIMESTAMP 1650296243.679864695
SW-SEND    TIMESTAMP 1650296243.689865194
SW-SEND    TIMESTAMP 1650296243.699866472
SW-SEND    TIMESTAMP 1650296243.709870972
SW-SEND    TIMESTAMP 1650296243.719868157
SW-SEND    TIMESTAMP 1650296243.729867453
SW-SEND    TIMESTAMP 1650296243.739866601
SW-SEND    TIMESTAMP 1650296243.749867249
SW-SEND    TIMESTAMP 1650296243.759867879
SW-SEND    TIMESTAMP 1650296243.769864175
SW-SEND    TIMESTAMP 1650296243.779867286
SW-SEND    TIMESTAMP 1650296243.789866397
SW-SEND    TIMESTAMP 1650296243.799866489
SW-SEND    TIMESTAMP 1650296243.809867470
SW-SEND    TIMESTAMP 1650296243.819867100
SW-SEND    TIMESTAMP 1650296243.829866877
SW-SEND    TIMESTAMP 1650296243.839867933
SW-SEND    TIMESTAMP 1650296243.849865247
SW-SEND    TIMESTAMP 1650296243.859868988
SW-SEND    TIMESTAMP 1650296243.869869118
SW-SEND    TIMESTAMP 1650296243.879866506
SW-SEND    TIMESTAMP 1650296243.889866802
SW-SEND    TIMESTAMP 1650296243.899867469
SW-SEND    TIMESTAMP 1650296243.909865895
SW-SEND    TIMESTAMP 1650296243.919864302
SW-SEND    TIMESTAMP 1650296243.929874505
SW-SEND    TIMESTAMP 1650296243.939881227
SW-SEND    TIMESTAMP 1650296243.949878764
SW-SEND    TIMESTAMP 1650296243.959866672
SW-SEND    TIMESTAMP 1650296243.969858875
SW-SEND    TIMESTAMP 1650296243.979881486
SW-SEND    TIMESTAMP 1650296243.989871171
SW-SEND    TIMESTAMP 1650296243.999860301
SW-SEND    TIMESTAMP 1650296244.009865300
SW-SEND    TIMESTAMP 1650296244.019865615
SW-SEND    TIMESTAMP 1650296244.029866948
SW-SEND    TIMESTAMP 1650296244.039867652
SW-SEND    TIMESTAMP 1650296244.049864541
SW-SEND    TIMESTAMP 1650296244.059865392
SW-SEND    TIMESTAMP 1650296244.069865429
SW-SEND    TIMESTAMP 1650296244.079867559
SW-SEND    TIMESTAMP 1650296244.089866058
SW-SEND    TIMESTAMP 1650296244.099867058
SW-SEND    TIMESTAMP 1650296244.109875632
SW-SEND    TIMESTAMP 1650296244.119865151
SW-SEND    TIMESTAMP 1650296244.129865558
SW-SEND    TIMESTAMP 1650296244.139865132
SW-SEND    TIMESTAMP 1650296244.149868317
SW-SEND    TIMESTAMP 1650296244.159865094
SW-SEND    TIMESTAMP 1650296244.169864872
SW-SEND    TIMESTAMP 1650296244.179866613
SW-SEND    TIMESTAMP 1650296244.189867168
SW-SEND    TIMESTAMP 1650296244.199865335
SW-SEND    TIMESTAMP 1650296244.209864779
SW-SEND    TIMESTAMP 1650296244.219868686
SW-SEND    TIMESTAMP 1650296244.229871482
SW-SEND    TIMESTAMP 1650296244.239872334
SW-SEND    TIMESTAMP 1650296244.249868630
SW-SEND    TIMESTAMP 1650296244.259864926
SW-SEND    TIMESTAMP 1650296244.269865852
SW-SEND    TIMESTAMP 1650296244.279869963
SW-SEND    TIMESTAMP 1650296244.289867185
SW-SEND    TIMESTAMP 1650296244.299864759
SW-SEND    TIMESTAMP 1650296244.309868092
SW-SEND    TIMESTAMP 1650296244.319869110
SW-SEND    TIMESTAMP 1650296244.329865795
SW-SEND    TIMESTAMP 1650296244.339865018
SW-SEND    TIMESTAMP 1650296244.349864740
SW-SEND    TIMESTAMP 1650296244.359868073
SW-SEND    TIMESTAMP 1650296244.369865295
SW-SEND    TIMESTAMP 1650296244.379865350
SW-SEND    TIMESTAMP 1650296244.389867832
SW-SEND    TIMESTAMP 1650296244.399867683
SW-SEND    TIMESTAMP 1650296244.409865091
SW-SEND    TIMESTAMP 1650296244.419867146
SW-SEND    TIMESTAMP 1650296244.429867146
SW-SEND    TIMESTAMP 1650296244.439865905
SW-SEND    TIMESTAMP 1650296244.449865349
SW-SEND    TIMESTAMP 1650296244.459867682
SW-SEND    TIMESTAMP 1650296244.469864386
SW-SEND    TIMESTAMP 1650296244.479867904
SW-SEND    TIMESTAMP 1650296244.489868386
SW-SEND    TIMESTAMP 1650296244.499866274
SW-SEND    TIMESTAMP 1650296244.509864404
SW-SEND    TIMESTAMP 1650296244.519867811
SW-SEND    TIMESTAMP 1650296244.529867607
SW-SEND    TIMESTAMP 1650296244.539869403
SW-SEND    TIMESTAMP 1650296244.549869885
